image_id,city,score,score_bin,visual_complexity,complexity_bin,source_path,materialized_path
0b5d5cfd-a752-42e5-a70e-11f1dc3abba2,Abuja,6.11,3,1.3698259359035028,0,pretrain_human_perception_classifier_pp/data/raw/specs/svi/Abuja/0b5d5cfd-a752-42e5-a70e-11f1dc3abba2.jpeg,data/01_raw/specs_paper_n100/0b5d5cfd-a752-42e5-a70e-11f1dc3abba2.jpeg
52f83280-5051-4ad6-be96-7327322d6aa5,Abuja,7.49,4,1.395194137445107,0,pretrain_human_perception_classifier_pp/data/raw/specs/svi/Abuja/52f83280-5051-4ad6-be96-7327322d6aa5.jpeg,data/01_raw/specs_paper_n100/52f83280-5051-4ad6-be96-7327322d6aa5.jpeg
586da6fb-1a6a-45b3-8c0e-a95da6db2a2f,Abuja,7.01,3,1.6777448789802,1,pretrain_human_perception_classifier_pp/data/raw/specs/svi/Abuja/586da6fb-1a6a-45b3-8c0e-a95da6db2a2f.jpeg,data/01_raw/specs_paper_n100/586da6fb-1a6a-45b3-8c0e-a95da6db2a2f.jpeg
66878433-59de-4533-acd3-760d0eee2ce9,Abuja,4.59,1,1.596846089171545,1,pretrain_human_perception_classifier_pp/data/raw/specs/svi/Abuja/66878433-59de-4533-acd3-760d0eee2ce9.jpeg,data/01_raw/specs_paper_n100/66878433-59de-4533-acd3-760d0eee2ce9.jpeg
7a04135a-dea8-4d4a-8eb5-f5993143c081,Abuja,1.94,0,1.4230817410181136,0,pretrain_human_perception_classifier_pp/data/raw/specs/svi/Abuja/7a04135a-dea8-4d4a-8eb5-f5993143c081.jpeg,data/01_raw/specs_paper_n100/7a04135a-dea8-4d4a-8eb5-f5993143c081.jpeg
7dcc17dc-639d-4834-9b32-2b0e528215e4,Abuja,8.65,4,1.41523713330997,0,pretrain_human_perception_classifier_pp/data/raw/specs/svi/Abuja/7dcc17dc-639d-4834-9b32-2b0e528215e4.jpeg,data/01_raw/specs_paper_n100/7dcc17dc-639d-4834-9b32-2b0e528215e4.jpeg
7e4701f6-fbe6-4c8a-b847-2468d6a4978d,Abuja,7.47,4,1.5059926041178877,1,pretrain_human_perception_classifier_pp/data/raw/specs/svi/Abuja/7e4701f6-fbe6-4c8a-b847-2468d6a4978d.jpeg,data/01_raw/specs_paper_n100/7e4701f6-fbe6-4c8a-b847-2468d6a4978d.jpeg
890c780e-4f85-4bcd-8c1f-b6ad2b9c4e40,Abuja,7.26,3,1.4300564112737908,0,pretrain_human_perception_classifier_pp/data/raw/specs/svi/Abuja/890c780e-4f85-4bcd-8c1f-b6ad2b9c4e40.jpeg,data/01_raw/specs_paper_n100/890c780e-4f85-4bcd-8c1f-b6ad2b9c4e40.jpeg
9bc0ba77-59af-4a3a-aa27-173a5359d40f,Abuja,2.81,0,1.4354647116289172,0,pretrain_human_perception_classifier_pp/data/raw/specs/svi/Abuja/9bc0ba77-59af-4a3a-aa27-173a5359d40f.jpeg,data/01_raw/specs_paper_n100/9bc0ba77-59af-4a3a-aa27-173a5359d40f.jpeg
a1d426b1-a87e-4662-8a01-b68c5d2dad11,Abuja,1.36,0,1.5623353196594991,1,pretrain_human_perception_classifier_pp/data/raw/specs/svi/Abuja/a1d426b1-a87e-4662-8a01-b68c5d2dad11.jpeg,data/01_raw/specs_paper_n100/a1d426b1-a87e-4662-8a01-b68c5d2dad11.jpeg
c1e12031-ae65-4ad4-93e9-88a3c00cc96f,Abuja,3.92,1,1.536941933633412,1,pretrain_human_perception_classifier_pp/data/raw/specs/svi/Abuja/c1e12031-ae65-4ad4-93e9-88a3c00cc96f.jpeg,data/01_raw/specs_paper_n100/c1e12031-ae65-4ad4-93e9-88a3c00cc96f.jpeg
