image_id,city,score,score_bin,visual_complexity,complexity_bin,source_path,materialized_path
0b5d5cfd-a752-42e5-a70e-11f1dc3abba2,Abuja,6.11,3,1.3698259359035028,0,pretrain_human_perception_classifier_pp/data/raw/specs/svi/Abuja/0b5d5cfd-a752-42e5-a70e-11f1dc3abba2.jpeg,data/01_raw/specs_paper_n50/0b5d5cfd-a752-42e5-a70e-11f1dc3abba2.jpeg
52f83280-5051-4ad6-be96-7327322d6aa5,Abuja,7.49,4,1.395194137445107,0,pretrain_human_perception_classifier_pp/data/raw/specs/svi/Abuja/52f83280-5051-4ad6-be96-7327322d6aa5.jpeg,data/01_raw/specs_paper_n50/52f83280-5051-4ad6-be96-7327322d6aa5.jpeg
586da6fb-1a6a-45b3-8c0e-a95da6db2a2f,Abuja,7.01,3,1.6777448789802,1,pretrain_human_perception_classifier_pp/data/raw/specs/svi/Abuja/586da6fb-1a6a-45b3-8c0e-a95da6db2a2f.jpeg,data/01_raw/specs_paper_n50/586da6fb-1a6a-45b3-8c0e-a95da6db2a2f.jpeg
9bc0ba77-59af-4a3a-aa27-173a5359d40f,Abuja,2.81,0,1.4354647116289172,0,pretrain_human_perception_classifier_pp/data/raw/specs/svi/Abuja/9bc0ba77-59af-4a3a-aa27-173a5359d40f.jpeg,data/01_raw/specs_paper_n50/9bc0ba77-59af-4a3a-aa27-173a5359d40f.jpeg
c1e12031-ae65-4ad4-93e9-88a3c00cc96f,Abuja,3.92,1,1.536941933633412,1,pretrain_human_perception_classifier_pp/data/raw/specs/svi/Abuja/c1e12031-ae65-4ad4-93e9-88a3c00cc96f.jpeg,data/01_raw/specs_paper_n50/c1e12031-ae65-4ad4-93e9-88a3c00cc96f.jpeg
c2143365-5ee3-4530-8511-7f78a80b4b0f,Abuja,4.88,2,1.3730235539635292,0,pretrain_human_perception_classifier_pp/data/raw/specs/svi/Abuja/c2143365-5ee3-4530-8511-7f78a80b4b0f.jpeg,data/01_raw/specs_paper_n50/c2143365-5ee3-4530-8511-7f78a80b4b0f.jpeg
e2318419-1b46-4670-a386-d066e0f938e3,Abuja,7.43,4,1.4688930951533183,1,pretrain_human_perception_classifier_pp/data/raw/specs/svi/Abuja/e2318419-1b46-4670-a386-d066e0f938e3.jpeg,data/01_raw/specs_paper_n50/e2318419-1b46-4670-a386-d066e0f938e3.jpeg
eee6dd59-4096-4c8c-ae6a-6dc872b7c187,Abuja,0.95,0,1.4949168660002177,1,pretrain_human_perception_classifier_pp/data/raw/specs/svi/Abuja/eee6dd59-4096-4c8c-ae6a-6dc872b7c187.jpeg,data/01_raw/specs_paper_n50/eee6dd59-4096-4c8c-ae6a-6dc872b7c187.jpeg
f39f6f46-bb60-416b-86d8-b7d64d628bde,Abuja,4.59,1,1.4415174951798058,0,pretrain_human_perception_classifier_pp/data/raw/specs/svi/Abuja/f39f6f46-bb60-416b-86d8-b7d64d628bde.jpeg,data/01_raw/specs_paper_n50/f39f6f46-bb60-416b-86d8-b7d64d628bde.jpeg
f7303db5-dc81-4fa4-bad3-e1e4321e9d42,Abuja,5.3,2,1.4937758268320467,1,pretrain_human_perception_classifier_pp/data/raw/specs/svi/Abuja/f7303db5-dc81-4fa4-bad3-e1e4321e9d42.jpeg,data/01_raw/specs_paper_n50/f7303db5-dc81-4fa4-bad3-e1e4321e9d42.jpeg
